Cuenca o Litoral;Estrato menor;Estrato;Sitio desembarco;Tipo de unidad;Mes;Epoca;Cuartil_inf;Cuartil_sup
Amazonía;Río Putumayo;Puerto Asís;Muelle Hong Kong;UEP;2;Meses Epoca Media;3;36.3
Amazonía;Río Putumayo;Puerto Asís;Muelle Hong Kong;UEP;3;Meses Epoca Alta;3.66;54.2
Amazonía;Río Putumayo;Puerto Asís;Muelle Hong Kong;UEP;4;Meses Epoca Media;3;36.3
Amazonía;Río Putumayo;Puerto Asís;Muelle Hong Kong;UEP;5;Meses Epoca Media;3;36.3
Amazonía;Río Putumayo;Puerto Asís;Muelle Hong Kong;UEP;6;Meses Epoca Media;3;36.3
Amazonía;Río Putumayo;Puerto Asís;Muelle Hong Kong;UEP;7;Meses Epoca Baja;3.5;34.775
Amazonía;Río Putumayo;Puerto Asís;Muelle Hong Kong;UEP;8;Meses Epoca Alta;3.66;54.2
Amazonía;Río Putumayo;Puerto Asís;Muelle Hong Kong;UEP;9;Meses Epoca Alta;3.66;54.2
Amazonía;Río Putumayo;Puerto Asís;Muelle Hong Kong;UEP;10;Meses Epoca Media;3;36.3
Amazonía;Río Putumayo;Puerto Asís;Muelle Hong Kong;UEP;11;Meses Epoca Media;3;36.3
Amazonía;Río Putumayo;Puerto Asís;Muelle Hong Kong;UEP;12;Meses Epoca Media;3;36.3
Amazonía;Río Putumayo;Puerto Asís;Muelle Hong Kong;UTA;2;Meses Epoca Baja;274.1;4635.5
Amazonía;Río Putumayo;Puerto Asís;Muelle Hong Kong;UTA;3;Meses Epoca Baja;274.1;4635.5
Amazonía;Río Putumayo;Puerto Asís;Muelle Hong Kong;UTA;4;Meses Epoca Media;669.98;7108
Amazonía;Río Putumayo;Puerto Asís;Muelle Hong Kong;UTA;8;Meses Epoca Media;669.98;7108
Amazonía;Río Putumayo;Puerto Asís;Muelle Hong Kong;UTA;9;Meses Epoca Alta;1510;13779
Amazonía;Río Putumayo;Puerto Asís;Muelle Hong Kong;UTA;10;Meses Epoca Media;669.98;7108
Amazonía;Río Putumayo;Puerto Asís;Muelle Hong Kong;UTA;11;Meses Epoca Alta;1510;13779
Amazonía;Río Putumayo;Puerto Asís;Muelle Hong Kong;UTA;12;Meses Epoca Media;669.98;7108
Amazonía;Río Putumayo;Puerto Asís;Río San Miguel;IM;1;Meses Epoca Baja;5;6.425
Amazonía;Río Putumayo;Puerto Asís;Río San Miguel;IM;2;Meses Epoca Alta;9.248;36.4
Amazonía;Río Putumayo;Puerto Asís;Río San Miguel;IM;3;Meses Epoca Alta;9.248;36.4
Amazonía;Río Putumayo;Puerto Asís;Río San Miguel;IM;4;Meses Epoca Alta;9.248;36.4
Amazonía;Río Putumayo;Puerto Asís;Río San Miguel;IM;5;Meses Epoca Media;6.989;26.1
Amazonía;Río Putumayo;Puerto Asís;Río San Miguel;IM;7;Meses Epoca Media;6.989;26.1
Amazonía;Río Putumayo;Puerto Asís;Río San Miguel;IM;9;Meses Epoca Baja;5;6.425
Amazonía;Río Putumayo;Puerto Asís;Río San Miguel;IM;10;Meses Epoca Media;6.989;26.1
Amazonía;Río Putumayo;Puerto Asís;Río San Miguel;IM;11;Meses Epoca Baja;5;6.425
