Cuenca o Litoral.x;Estrato menor;Estrato;No del sitio de desembarco;Sitio desembarco.x;Tipo de unidad.x;Mes;Epoca;Sitio_TU_Mes;Sitio_TU_Epoca;Cuenca o Litoral;Sitio desembarco.y;Tipo de unidad.y;Cuartil_inf;Cuartil_sup
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;1;Curillo;UEP;10;No patrón;Curillo_UEP_10;Curillo_UEP_No patrón;Amazonía;Curillo;UEP;1,65;8,77
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;2;Aparca;IM;1;Meses Epoca Alta;Aparca_IM_1;Aparca_IM_Meses Epoca Alta;Amazonía;Aparca;IM;53,4;328,98
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;2;Aparca;IM;2;Meses Epoca Alta;Aparca_IM_2;Aparca_IM_Meses Epoca Alta;Amazonía;Aparca;IM;53,4;328,98
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;2;Aparca;IM;3;Meses Epoca Media;Aparca_IM_3;Aparca_IM_Meses Epoca Media;Amazonía;Aparca;IM;21,91;213,35
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;2;Aparca;IM;4;Meses Epoca Media;Aparca_IM_4;Aparca_IM_Meses Epoca Media;Amazonía;Aparca;IM;21,91;213,35
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;2;Aparca;IM;5;Meses Epoca Media;Aparca_IM_5;Aparca_IM_Meses Epoca Media;Amazonía;Aparca;IM;21,91;213,35
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;2;Aparca;IM;6;Meses Epoca Baja;Aparca_IM_6;Aparca_IM_Meses Epoca Baja;Amazonía;Aparca;IM;15,95;115,43
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;2;Aparca;IM;7;Meses Epoca Baja;Aparca_IM_7;Aparca_IM_Meses Epoca Baja;Amazonía;Aparca;IM;15,95;115,43
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;2;Aparca;IM;8;Meses Epoca Media;Aparca_IM_8;Aparca_IM_Meses Epoca Media;Amazonía;Aparca;IM;21,91;213,35
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;2;Aparca;IM;9;Meses Epoca Baja;Aparca_IM_9;Aparca_IM_Meses Epoca Baja;Amazonía;Aparca;IM;15,95;115,43
